Date,2.5 percentile,5.0 percentile,10.0 percentile,15.0 percentile,20.0 percentile,25.0 percentile,30.0 percentile,35.0 percentile,40.0 percentile,45.0 percentile,50.0 percentile,55.0 percentile,60.0 percentile,65.0 percentile,70.0 percentile,75.0 percentile,80.0 percentile,85.0 percentile,90.0 percentile,95.0 percentile,97.5 percentile,ConfirmedCases
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,1.0
2020-02-20,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,1.0
2020-02-21,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,0.0
2020-02-22,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,7.0,0.0
2020-02-23,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,2.0
2020-02-24,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,8.0,8.0,0.0
2020-02-25,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,9.0,10.0,15.0
2020-02-26,1.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,10.0,11.0,0.0
2020-02-27,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,10.0,11.0,13.0,1.0
2020-02-28,2.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,9.0,10.0,10.0,11.0,13.0,14.0,1.0
2020-02-29,2.0,3.0,4.0,4.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,11.0,11.0,12.0,13.0,15.0,17.0,5.0
2020-03-01,3.0,4.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,12.0,12.0,13.0,14.0,15.0,17.0,19.0,5.0
2020-03-02,4.0,5.0,6.0,7.0,7.0,8.0,9.0,9.0,10.0,10.0,11.0,12.0,12.0,13.0,14.0,14.0,15.0,16.0,18.0,20.0,22.0,7.0
2020-03-03,5.0,6.0,7.0,8.0,9.0,10.0,10.0,11.0,12.0,12.0,13.0,14.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,23.0,25.0,10.0
2020-03-04,6.0,7.0,9.0,10.0,11.0,12.0,12.0,13.0,14.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,24.0,27.0,30.0,12.0
2020-03-05,7.0,9.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,25.0,26.0,28.0,32.0,34.0,14.0
2020-03-06,9.0,11.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,29.0,31.0,33.0,37.0,40.0,19.0
2020-03-07,11.0,13.0,16.0,17.0,19.0,20.0,21.0,22.0,23.0,25.0,26.0,27.0,28.0,29.0,31.0,32.0,34.0,36.0,39.0,43.0,47.0,12.0
2020-03-08,14.0,16.0,19.0,21.0,22.0,24.0,25.0,27.0,28.0,29.0,30.0,32.0,33.0,35.0,36.0,38.0,40.0,42.0,45.0,50.0,55.0,60.0
2020-03-09,17.0,19.0,22.0,25.0,27.0,28.0,30.0,32.0,33.0,34.0,36.0,37.0,39.0,41.0,43.0,45.0,47.0,50.0,53.0,59.0,64.0,7.0
2020-03-10,20.0,23.0,27.0,30.0,32.0,34.0,36.0,37.0,39.0,41.0,43.0,44.0,46.0,48.0,50.0,52.0,55.0,58.0,63.0,69.0,75.0,23.0
2020-03-11,24.0,28.0,32.0,35.0,38.0,40.0,42.0,44.0,46.0,48.0,50.0,52.0,54.0,57.0,59.0,62.0,65.0,69.0,74.0,81.0,88.0,50.0
2020-03-12,29.0,33.0,38.0,42.0,45.0,48.0,50.0,53.0,55.0,57.0,60.0,62.0,64.0,67.0,70.0,73.0,77.0,81.0,87.0,95.0,104.0,68.0
2020-03-13,35.0,40.0,46.0,50.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,76.0,79.0,82.0,86.0,90.0,95.0,102.0,112.0,122.0,61.0
2020-03-14,42.0,48.0,55.0,59.0,63.0,67.0,71.0,74.0,77.0,80.0,83.0,86.0,90.0,93.0,97.0,101.0,106.0,112.0,120.0,132.0,143.0,97.0
2020-03-15,50.0,57.0,65.0,70.0,75.0,80.0,83.0,87.0,91.0,95.0,98.0,102.0,106.0,110.0,115.0,120.0,125.0,132.0,141.0,155.0,168.0,110.0
2020-03-16,60.0,68.0,77.0,84.0,89.0,94.0,99.0,103.0,108.0,112.0,116.0,121.0,125.0,130.0,135.0,141.0,148.0,156.0,167.0,183.0,198.0,144.0
2020-03-17,71.97500000000036,80.0,91.0,99.0,106.0,112.0,117.0,122.0,127.0,132.0,137.0,143.0,148.0,154.0,160.0,167.0,175.0,184.0,197.0,216.0,234.0,161.0
2020-03-18,85.0,95.0,108.0,118.0,126.0,132.0,139.0,145.0,151.0,157.0,163.0,169.0,175.0,182.0,189.0,197.0,207.0,218.0,233.0,256.0,277.0,174.0
2020-03-19,101.0,113.0,129.0,139.0,149.0,157.0,164.0,171.0,178.0,185.0,192.0,199.0,207.0,215.0,223.0,233.0,244.0,257.0,274.0,301.0,326.0,216.0
